dataset,n,R,metodo,tiempo
peor-caso-bt,0,1,BT-0,0.000922
peor-caso-bt,1,4,BT-0,0.001142
peor-caso-bt,2,9,BT-0,0.001843
peor-caso-bt,3,16,BT-0,0.001834
peor-caso-bt,4,25,BT-0,0.0022095
peor-caso-bt,5,36,BT-0,0.0035815
peor-caso-bt,6,49,BT-0,0.003962
peor-caso-bt,7,64,BT-0,0.00819
peor-caso-bt,8,81,BT-0,0.010464500000000002
peor-caso-bt,9,100,BT-0,0.011341
peor-caso-bt,10,121,BT-0,0.019256
peor-caso-bt,11,144,BT-0,0.0216855
peor-caso-bt,12,169,BT-0,0.0429905
peor-caso-bt,13,196,BT-0,0.0660335
peor-caso-bt,14,225,BT-0,0.0869325
peor-caso-bt,15,256,BT-0,0.1390895
peor-caso-bt,16,289,BT-0,0.100147
peor-caso-bt,17,324,BT-0,0.154598
peor-caso-bt,18,361,BT-0,0.344868
peor-caso-bt,19,400,BT-0,0.27231799999999995
peor-caso-bt,20,441,BT-0,0.473147
peor-caso-bt,21,484,BT-0,0.799817
peor-caso-bt,22,529,BT-0,0.32329300000000005
peor-caso-bt,23,576,BT-0,1.26097
peor-caso-bt,24,625,BT-0,4.34911
peor-caso-bt,25,676,BT-0,7.1111
peor-caso-bt,26,729,BT-0,2.688835
peor-caso-bt,27,784,BT-0,16.8219
peor-caso-bt,28,841,BT-0,11.53395
peor-caso-bt,29,900,BT-0,7.2001550000000005
peor-caso-bt,30,961,BT-0,15.3088
peor-caso-bt,31,1024,BT-0,15.120049999999999
peor-caso-bt,32,1089,BT-0,9.255575
peor-caso-bt,33,1156,BT-0,17.83755
peor-caso-bt,34,1225,BT-0,17.68055
peor-caso-bt,35,1296,BT-0,34.2504
peor-caso-bt,36,1369,BT-0,13.407150000000001
peor-caso-bt,37,1444,BT-0,69.06
peor-caso-bt,38,1521,BT-0,17.067999999999998
peor-caso-bt,39,1600,BT-0,151.6235
peor-caso-bt,40,1681,BT-0,157.93099999999998
peor-caso-bt,41,1764,BT-0,91.029
peor-caso-bt,42,1849,BT-0,65.86495
peor-caso-bt,43,1936,BT-0,129.5905
peor-caso-bt,44,2025,BT-0,637.3365
peor-caso-bt,45,2116,BT-0,132.8065
peor-caso-bt,46,2209,BT-0,985.134
peor-caso-bt,47,2304,BT-0,259.211
peor-caso-bt,48,2401,BT-0,582.5665
peor-caso-bt,49,2500,BT-0,513.8109999999999
peor-caso-bt,50,2601,BT-0,659.7435
peor-caso-bt,51,2704,BT-0,728.3005
peor-caso-bt,52,2809,BT-0,2716.495
peor-caso-bt,53,2916,BT-0,899.229
peor-caso-bt,54,3025,BT-0,4768.125
peor-caso-bt,55,3136,BT-0,2254.3500000000004
peor-caso-bt,56,3249,BT-0,25179.6
peor-caso-bt,57,3364,BT-0,11093.0
peor-caso-bt,58,3481,BT-0,16781.0
